id	ConceptA	ConceptB_Pre	Prerequisite	ca_smog_index	ca_noun_phrases	ca_flesch_reading_ease	ca_number_words	ca_number_sentences	ca_ar_index	core_p_a	cb_smog_index	cb_noun_phrases	cb_flesch_reading_ease	cb_number_words	cb_number_sentences	cb_ar_index	core_p_b	arxiv_common_results_first_1000	core_common_results_first_500	core_p_b_given_a	core_p_a_given_b	core_p_a_and_b	p_ca	p_cb	p_ca_cb	p_ca_given_cb	p_cb_given_ca	page_rank_difference	ca_inlinks	ca_outlinks	cb_inlinks	cb_outlinks	common_neighbors	direct_connections	link_proportion	ngd	pmi	cat_common	ave_tax_simil	max_tax_simil	min_tax_simil
1	Knowledge_representation_and_reasoning	Algorithm_design	1	14.2	597.0	44.14	3709.0	181.0	14.2	0.070448245	16.7	64.0	32.43	261.0	10.0	17.7	0.024288343	0.0	0.0	0.343251601	0.995599933	0.024181473	4.037e-06	6.23e-07	0.0	0.0	0.0	18.08587	292	129	19	46	0	0	0.0	0.0	0.0	0.0	0.47718	0.66667	0.33333
2	Natural_language_processing	Natural_language	1	15.2	368.0	33.95	2604.0	127.0	16.0	0.033342348	17.9	85.0	26.64	551.0	20.0	20.4	0.028640739	0.507	0.67	0.858989874	1.0	0.028640739	8.976e-06	6.224e-06	1.9e-08	0.003081664	0.002136752	-22.1219	719	217	508	141	7	2	0.06537	0.29883	9.23359	1.0	0.37217	1.0	0.11111
3	Algorithm	Combinatorics	1	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008143331	15.4	465.0	28.43	2514.0	129.0	16.0	0.00036504	0.001	0.018	0.016446001	0.366878485	0.000133925	3.7994e-05	1.1383e-05	1e-08	0.00084246	0.000252398	152.9361	3540	422	916	271	12	1	0.01751	0.47371	6.48299	0.0	0.28269	0.5	0.2
4	System_programming	Unix	1	15.9	97.0	31.01	605.0	26.0	18.4	0.037386829	14.8	813.0	39.16	4274.0	178.0	16.4	0.000316705	0.026737968	0.008	0.007667413	0.905132038	0.00028666	1.314e-06	3.7544e-05	1e-08	0.000255428	0.00729927	-168.38679	59	78	3516	399	9	1	0.15254	0.52902	7.66509	0.0	0.39405	0.55556	0.0
5	Random_graph	Combinatorics	1	14.2	356.0	-226.25	1998.0	69.0	18.7	0.016150291	15.4	465.0	28.43	2514.0	129.0	16.0	0.00036504	0.012	0.042	0.014431396	0.638481823	0.000233071	1.956e-06	1.1383e-05	1e-08	0.00084246	0.004901961	-43.30519	119	85	916	271	12	1	0.15966	0.36634	9.67144	0.0	0.41667	0.5	0.33333
6	Mathematical_induction	Mathematical_proof	1	13.1	697.0	-188.66	4647.0	165.0	14.5	0.013634723	14.6	522.0	-8.56	3560.0	168.0	14.8	0.013835903	0.018	0.4	0.716338261	0.705922405	0.009767074	5.006e-06	5.725e-06	1.9e-08	0.003350084	0.003831418	1.3337	379	143	359	238	16	2	0.09235	0.25142	10.23292	0.0	0.41488	0.6	0.14286
7	Computer_vision	Image_processing	1	14.7	880.0	35.68	5049.0	294.0	15.2	0.016443713	16.8	192.0	23.97	765.0	49.0	20.0	0.01893524	0.04625	0.224	0.49560365	0.430391388	0.008149564	8.87e-06	6.579e-06	1.9e-08	0.002915452	0.002162162	1.8659	764	161	606	80	10	2	0.15576	0.20772	10.23175	1.0	0.23333	1.0	0.0
8	Randomness	Mathematics	1	14.2	394.0	42.92	3217.0	167.0	13.8	0.000630642	16.2	727.0	24.48	5136.0	239.0	16.8	0.005183444	0.003	0.022	0.238912034	0.02906713	0.000150668	7.595e-06	0.000198152	1e-08	4.8396e-05	0.001262626	-900.4977	565	227	20104	559	20	1	0.09381	0.65824	4.44815	0.0	0.17619	0.42857	0.0
9	Computer_science	Number_theory	1	17.5	668.0	22.85	4178.0	178.0	18.8	0.032093886	14.4	1125.0	-70.62	6850.0	280.0	16.3	0.047932008	0.0	0.058	0.828930674	0.555028003	0.026603607	8.648e-05	1.7674e-05	1e-08	0.000542594	0.000110889	250.7224	8602	416	1482	361	10	1	0.0093	0.58056	4.87567	0.0	0.45833	0.5	0.33333
10	Database	Data_(computing)	1	14.8	1237.0	33.04	7878.0	345.0	15.9	0.008625608	13.6	253.0	44.44	2130.0	117.0	12.1	0.045043661	0.017	0.002	0.918717928	0.175929332	0.007924501	4.0919e-05	2.915e-06	1.9e-08	0.006578947	0.000468713	155.3419	3843	424	157	147	23	2	0.00468	0.52063	7.12482	0.0	0.50794	0.66667	0.42857
11	Machine_learning	Graph_theory	1	15.9	581.0	31.21	3811.0	160.0	17.7	0.013537605	14.5	608.0	41.29	3743.0	172.0	15.3	0.025378626	0.001	0.038	0.553466396	0.295233056	0.007492609	1.5161e-05	1.5305e-05	0.0	0.0	0.0	-11.0045	1294	287	1263	333	6	0	0.017	0.49585	5.9767	0.0	0.23175	0.42857	0.0
12	Type_system	Programming_language	1	14.2	736.0	32.22	6218.0	278.0	14.4	0.048121022	14.9	684.0	41.8	6037.0	277.0	15.8	0.011657933	0.029	0.062	0.203830252	0.841360113	0.00980852	1.0319e-05	2.805e-05	1.9e-08	0.000683761	0.001858736	-122.7953	864	212	2530	395	32	2	0.28356	0.27158	9.03436	0.0	0.51736	0.75	0.25
13	Variable_(computer_science)	Programming_language	1	13.3	223.0	48.94	2320.0	104.0	14.4	0.040126654	14.9	684.0	41.8	6037.0	277.0	15.8	0.011657933	0.014	0.01	0.218952889	0.753636754	0.008785847	4.977e-06	2.805e-05	1e-08	0.00034188	0.001926782	-129.7646	385	134	2530	395	25	1	0.3013	0.32773	9.12188	0.0	0.4122	0.75	0.0
14	Computer_programming	Logic	1	15.8	357.0	33.65	2294.0	104.0	16.5	0.014127384	16.1	1002.0	22.04	6809.0	271.0	16.5	0.004659894	0.058	0.138	0.15598887	0.472910875	0.002203715	1.6082e-05	2.8021e-05	1e-08	0.000342231	0.000596303	-77.6599	1410	267	2529	393	10	1	0.01915	0.55997	5.14659	0.0	0.2125	0.4	0.0
15	Distributed_computing	Operating_system	1	15.3	544.0	35.57	3775.0	192.0	15.5	0.022200525	14.7	1271.0	40.58	8814.0	374.0	15.2	0.038319784	0.002	0.064	0.735127216	0.425895148	0.01632021	1.1623e-05	5.283e-05	1e-08	0.000181521	0.000825083	-275.5846	1012	200	5021	488	11	1	0.0998	0.4629	6.53899	0.0	0.33333	0.33333	0.33333
16	Monte_Carlo_method	Computation	1	14.1	1201.0	36.69	6522.0	425.0	14.5	0.031869968	18.1	96.0	20.31	560.0	18.0	19.5	0.005737048	0.0	0.016	0.135138608	0.750710674	0.004306863	9.494e-06	3.136e-06	1e-08	0.003058104	0.001010101	13.169	697	293	249	78	1	1	0.01435	0.43128	8.07444	0.0	0.14508	0.55556	0.0
17	First-order_logic	Recursion	1	14.2	1774.0	-60.44	12058.0	540.0	15.3	0.050219689	14.6	367.0	-36.07	2522.0	108.0	15.7	0.000544396	0.005	0.024	0.010664321	0.983767645	0.000535559	8.276e-06	6.416e-06	0.0	0.0	0.0	14.0593	594	269	500	169	10	0	0.03704	0.36044	8.43686	0.0	0.37937	0.6	0.14286
18	Lexical_analysis	Formal_grammar	1	15.1	445.0	40.18	3428.0	150.0	15.8	0.042941862	14.0	454.0	-220.03	2671.0	86.0	19.9	0.011731531	0.094	0.096	0.20001955	0.732147541	0.008589212	3.347e-06	3.385e-06	1e-08	0.002832861	0.00286533	-2.2709	224	125	218	135	10	1	0.125	0.20849	11.38935	0.0	0.37795	0.66667	0.16667
19	Algorithm	Mathematics	1	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008143867	16.2	727.0	24.48	5136.0	239.0	16.8	0.005183547	0.002	0.052	0.176541142	0.277363674	0.001437728	3.7994e-05	0.000198152	1.9e-08	9.6791e-05	0.000504796	-743.272	3540	422	20104	559	38	2	0.09124	0.57483	4.40819	0.0	0.21439	0.66667	0.0
20	Shortest_path_problem	NP-completeness	1	14.3	408.0	-89.07	2603.0	110.0	16.9	0.029017646	14.4	346.0	22.65	2157.0	93.0	16.4	0.003601992	0.014	0.078	0.081034269	0.652812004	0.002351424	3.893e-06	6.387e-06	1e-08	0.001501502	0.002463054	-12.5667	287	119	487	179	6	1	0.04181	0.38183	8.64981	0.0	0.31794	0.66667	0.0
21	Probability_theory	Algebra	1	13.8	589.0	-229.03	3113.0	152.0	17.3	0.02815054	15.2	618.0	26.0	4185.0	209.0	13.7	0.002756758	0.0	0.012	0.08198318	0.837168501	0.002307871	1.3301e-05	1.847e-05	0.0	0.0	0.0	8.4134	1201	186	1605	321	9	0	0.0458	0.40805	7.06051	0.0	0.2	0.2	0.2
22	System_programming	Computer_programming	1	15.9	97.0	31.01	605.0	26.0	18.4	0.037448197	15.8	357.0	33.65	2294.0	104.0	16.5	0.014153626	0.281	0.324	0.304600684	0.805923972	0.011406746	1.314e-06	1.6082e-05	1.9e-08	0.001192606	0.01459854	-81.79089	59	78	1410	267	13	2	0.10169	0.48397	8.39837	1.0	0.61429	1.0	0.42857
23	Graphical_user_interface	Computer	1	16.0	471.0	29.89	2617.0	107.0	18.0	0.012644052	15.0	1086.0	41.7	8043.0	367.0	15.0	0.012738401	0.002	0.172	0.433493267	0.430282534	0.005481111	2.7312e-05	6.193e-05	1.9e-08	0.000309693	0.000702247	-143.696	2579	269	5688	770	31	2	0.05777	0.48541	5.5704	0.0	0.19753	0.42857	0.0
24	Profiling_(computer_programming)	Algorithm	1	15.5	273.0	26.1	1553.0	75.0	16.3	0.015290073	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008157793	0.003	0.0	0.311871098	0.584536984	0.004768532	3.117e-06	3.7994e-05	0.0	0.0	0.0	-192.88021	210	115	3540	422	6	0	0.0381	0.60855	5.65375	0.0	0.39583	0.66667	0.33333
25	Complexity_class	Algorithm	1	13.7	266.0	-7.95	1700.0	80.0	14.2	0.020797577	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008157793	0.005	0.18	0.221327241	0.564254336	0.00460307	2.771e-06	3.7994e-05	1.9e-08	0.000504796	0.006920415	-189.7456	165	124	3540	422	13	2	0.23636	0.43973	8.28708	0.0	0.38717	0.6	0.23077
26	Computer_graphics	Geometry	1	15.0	1178.0	40.08	7547.0	332.0	15.9	0.013216283	16.4	708.0	32.22	4155.0	188.0	16.7	0.005721552	0.004	0.04	0.147001635	0.339560899	0.001942815	1.7472e-05	3.6882e-05	1.9e-08	0.000520021	0.001097695	-130.6407	1382	440	3447	399	7	2	0.04342	0.49844	5.88075	0.0	0.5	0.5	0.5
27	Relational_database	Computer_programming	1	14.0	325.0	44.24	2402.0	129.0	13.0	0.009704632	15.8	357.0	33.65	2294.0	104.0	16.5	0.014153626	0.007	0.098	0.372706888	0.255551703	0.003616983	6.176e-06	1.6082e-05	0.0	0.0	0.0	-55.4187	520	124	1410	267	3	0	0.03269	0.48526	6.76115	0.0	0.2387	0.42857	0.0
28	Software_development	Software_design	1	16.4	514.0	24.68	3302.0	177.0	17.9	0.035738138	14.1	318.0	36.39	2243.0	123.0	14.6	0.026508153	0.283	0.37	0.604097638	0.814440906	0.021589324	1.2668e-05	2.752e-06	1.9e-08	0.006968641	0.001514005	42.6883	1103	218	152	135	44	2	0.02901	0.34255	9.80239	1.0	0.42603	1.0	0.14286
29	Geometric_modeling	Computational_geometry	1	14.0	145.0	24.54	515.0	59.0	16.5	0.011770721	16.9	265.0	30.09	1602.0	63.0	18.5	0.011235399	0.01	0.15	0.456066934	0.477796715	0.005368237	1.18e-06	4.363e-06	1e-08	0.002197802	0.008130081	-14.37228	57	66	309	146	14	1	0.14035	0.32291	11.05318	0.0	0.66667	0.66667	0.66667
30	Computational_complexity_theory	Complexity	1	14.3	839.0	7.45	5500.0	227.0	14.6	0.028851798	16.3	333.0	22.95	2798.0	122.0	16.8	0.009019612	0.078	0.44	0.312618736	1.0	0.009019612	9.734e-06	4.718e-06	1.9e-08	0.004065041	0.001970443	34.105	788	227	326	166	14	2	0.0165	0.42883	7.88719	0.0	0.37143	0.42857	0.33333
31	Statistical_inference	Data	1	15.7	676.0	21.4	3332.0	265.0	16.7	0.020045271	14.9	144.0	33.75	1358.0	60.0	14.5	0.043606012	0.003	0.116	0.88992299	0.409089174	0.017838747	4.315e-06	1.31e-05	0.0	0.0	0.0	-68.0859	263	187	1216	150	2	0	0.09886	0.39292	8.57112	0.0	0.29074	0.45455	0.11111
