id	ConceptA	ConceptB_Pre	ca_smog_index	ca_noun_phrases	ca_flesch_reading_ease	ca_number_words	ca_number_sentences	ca_ar_index	core_p_a	cb_smog_index	cb_noun_phrases	cb_flesch_reading_ease	cb_number_words	cb_number_sentences	cb_ar_index	core_p_b	arxiv_common_results_first_1000	core_common_results_first_500	core_p_b_given_a	core_p_a_given_b	core_p_a_and_b	cat_common	ave_tax_simil	max_tax_simil	min_tax_simil	domain	prerequisite	p_ca	p_cb	p_ca_cb	p_ca_given_cb	p_cb_given_ca	page_rank_difference	ca_inlinks	ca_outlinks	cb_inlinks	cb_outlinks	common_neighbors	direct_connections	link_proportion	ngd	pmi
1	Nuclear_membrane	Eukaryote	15.6	188.0	34.66	1021.0	52.0	15.8	0.009695535	15.4	719.0	34.66	4967.0	234.0	16.0	0.000112812	0.002346403	0.002309136	0.006200181	0.53287173	6.0114e-05	0	0.08712	0.27273	0.0	Meiosis	0	2.349e-06	9.9551e-05	1.9e-08	0.00019266	0.008163265	-310.8532	158	87	10000	381	7	2	0.28481	0.52484	7.05789
2	Synaptonemal_complex	Meiosis	14.6	139.0	36.08	693.0	34.0	14.6	0.025106026	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	0.000789588	0.002307803	0.005818987	0.756929115	0.000146092	1	0.42143	1.0	0.0	Meiosis	1	6.62e-07	8.592e-06	1.9e-08	0.002232143	0.028985507	-112.02271	23	46	683	213	5	2	0.56522	0.32411	11.91867
3	Meiosis	Nuclear_membrane	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	15.6	188.0	34.66	1021.0	52.0	15.8	0.009695535	0.001914171	0.002309136	0.635925108	0.012659145	0.000122737	0	0.33574	0.66667	0.0	Meiosis	1	8.592e-06	2.349e-06	1e-08	0.004081633	0.001116071	91.6102	683	213	158	87	9	1	0.02635	0.35316	9.60793
4	Meiosis	Sexual_reproduction	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.6	366.0	43.12	2531.0	131.0	15.1	0.013024572	0.000779325	0.002293578	0.625214619	0.009264795	0.00012067	0	0.21965	0.6	0.0	Meiosis	1	8.592e-06	7.835e-06	1.9e-08	0.00244798	0.002232143	-16.046	683	213	604	213	26	2	0.13763	0.22147	10.05797
5	Meiosis	Centromere	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.5	270.0	43.93	1545.0	90.0	15.5	0.000122903	0.042582418	0.002347073	0.159144796	0.249919753	3.0716e-05	0	0.35476	0.66667	0.0	Meiosis	0	8.592e-06	3.462e-06	0.0	0.0	0.0	91.6832	683	213	232	129	11	0	0.06589	0.27441	10.37566
6	Meiosis	Chromosome	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.4	558.0	44.14	3698.0	189.0	14.9	0.002029108	0.001743434	0.002318505	0.690049873	0.065636495	0.000133184	0	0.3262	0.66667	0.0	Meiosis	1	8.592e-06	2.4291e-05	1.9e-08	0.000789578	0.002232143	-71.22	683	213	2159	374	37	2	0.27233	0.27759	9.2048
7	Meiosis	Dictyate	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.2	33.0	42.92	257.0	13.0	15.2	1.397e-06	0.004120879	0.00235398	0.006213719	0.858757062	1.199e-06	0	0.2781	0.42857	0.0	Meiosis	0	8.592e-06	4.89e-07	1.9e-08	0.039215686	0.002232143	112.18935	683	213	14	37	6	2	0.00878	0.37225	11.5194
8	Meiosis	Cell_cycle	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.6	657.0	41.9	4081.0	191.0	14.8	0.021575462	0.000792798	0.00229819	0.902011283	0.008069043	0.000174093	2	0.42222	1.0	0.0	Meiosis	0	8.592e-06	9.081e-06	1e-08	0.001055966	0.001116071	57.5851	683	213	751	196	31	1	0.09078	0.28242	9.14332
9	Meiosis	Chromatid	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	14.1	57.0	43.93	377.0	21.0	14.8	0.000106081	0.042582418	0.00235398	0.155997057	0.283822983	3.0108e-05	1	0.36714	1.0	0.0	Meiosis	1	8.592e-06	1.573e-06	1.9e-08	0.012195122	0.002232143	99.5197	683	213	85	79	12	2	0.0571	0.26227	11.6178
10	Homologous_chromosome	Chromosome	14.9	280.0	42.72	2000.0	100.0	15.4	0.003155993	14.4	558.0	44.14	3698.0	189.0	14.9	0.002029108	0.00097224	0.002313811	0.642510713	0.999335081	0.002027759	1	0.64646	1.0	0.27273	Meiosis	1	2.503e-06	2.4291e-05	1.9e-08	0.000789578	0.007662835	-160.1705	161	100	2159	374	23	2	0.3354	0.3589	9.50535
11	Mitosis	Meiosis	14.9	424.0	44.44	2909.0	156.0	14.5	0.000420065	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	0.013839286	0.002346729	0.178963186	0.389502085	7.5176e-05	2	0.34841	1.0	0.0	Meiosis	0	1.0616e-05	8.592e-06	3.8e-08	0.004464286	0.003613369	-18.7751	866	241	683	213	40	4	0.23095	0.16594	10.62742
12	Chromosomal_crossover	Chromatid	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	14.1	57.0	43.93	377.0	21.0	14.8	0.000106081	0.000762814	0.00231582	0.031695788	0.72763109	7.7188e-05	1	0.5381	1.0	0.33333	Meiosis	1	2.513e-06	1.573e-06	1.9e-08	0.012195122	0.007633588	2.4083	140	122	85	79	6	2	0.15	0.1738	13.01117
13	Chromatid	Chromosome	14.1	57.0	43.93	377.0	21.0	14.8	0.000106081	14.4	558.0	44.14	3698.0	189.0	14.9	0.002029108	0.001743434	0.002318505	0.829750837	0.043379191	8.8021e-05	1	0.49042	1.0	0.27273	Meiosis	1	1.573e-06	2.4291e-05	1.9e-08	0.000789578	0.012195122	-170.7397	85	79	2159	374	14	2	0.56471	0.34869	10.25696
14	Chiasma_(genetics)	Chromatid	16.0	65.0	32.02	401.0	18.0	17.2	0.003055924	14.1	57.0	43.93	377.0	21.0	14.8	0.000106081	0.000792049	0.002292592	0.017629062	0.507846783	5.3873e-05	0	0.55333	0.66667	0.33333	Meiosis	0	6.04e-07	1.573e-06	1.9e-08	0.012195122	0.031746032	-11.09015	24	39	85	79	3	2	0.20833	0.2326	13.48511
15	Oogenesis	Meiosis	14.9	148.0	35.17	945.0	49.0	15.8	7.2927e-05	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	0.042582418	0.00235398	0.286919831	0.108413049	2.0924e-05	0	0.31524	0.66667	0.0	Meiosis	0	2.004e-06	8.592e-06	1.9e-08	0.002232143	0.009569378	-104.729	102	107	683	213	22	2	0.30392	0.28812	11.02356
16	Centrosome	Nuclear_membrane	15.4	186.0	34.97	1374.0	71.0	15.0	9.5517e-05	15.6	188.0	34.66	1021.0	52.0	15.8	0.009695535	0.001914171	0.002309136	0.704113663	0.006936651	6.7255e-05	0	0.63492	0.71429	0.55556	Meiosis	0	2.791e-06	2.349e-06	1e-08	0.004081633	0.003436426	-7.3979	163	128	158	87	4	1	0.08589	0.23842	11.31238
17	Synaptonemal_complex	Chromosome	14.6	139.0	36.08	693.0	34.0	14.6	0.025106026	14.4	558.0	44.14	3698.0	189.0	14.9	0.002029108	0.000967882	0.002307803	0.056884089	0.703823093	0.001428133	0	0.53535	0.66667	0.27273	Meiosis	1	6.62e-07	2.4291e-05	1e-08	0.000394789	0.014492754	-183.24271	23	46	2159	374	4	1	0.30435	0.46891	9.36518
18	Synaptonemal_complex	Chromosomal_crossover	14.6	139.0	36.08	693.0	34.0	14.6	0.025106026	15.2	294.0	41.5	2032.0	91.0	15.9	0.002435279	0.001008883	0.002307803	0.062523629	0.644574976	0.00156972	1	0.71429	1.0	0.42857	Meiosis	0	6.62e-07	2.513e-06	1e-08	0.003816794	0.014492754	-14.91131	23	46	140	122	6	1	0.21739	0.27262	12.82661
19	Chromosome	Gamete	14.4	558.0	44.14	3698.0	189.0	14.9	0.002029108	15.0	86.0	44.37	750.0	28.0	16.5	0.0001102	0.001855914	0.002318505	0.021475732	0.39543209	4.3577e-05	0	0.38283	0.66667	0.25	Meiosis	0	2.4291e-05	5.821e-06	1e-08	0.001647446	0.000394789	74.916	2159	374	479	128	12	1	0.04447	0.33886	8.76246
20	Meiosis	Eukaryote	14.4	633.0	44.03	4408.0	229.0	14.5	0.000193006	15.4	719.0	34.66	4967.0	234.0	16.0	0.000112812	0.002053252	0.00235398	0.052612215	0.090012589	1.0154e-05	1	0.13556	1.0	0.0	Meiosis	0	8.592e-06	9.9551e-05	1.9e-08	0.00019266	0.002232143	-219.243	683	213	10000	381	24	2	0.22108	0.47476	6.69248
21	Mitosis	Fungus	14.9	424.0	44.44	2909.0	156.0	14.5	0.000420065	15.5	1388.0	32.63	8791.0	379.0	17.4	0.00047363	0.016517857	0.002320522	0.044383922	0.039364307	1.8644e-05	1	0.14746	1.0	0.0	Meiosis	0	1.0616e-05	0.000370892	1e-08	2.5856e-05	0.000903342	-465.2751	866	241	37849	827	30	1	0.11316	0.69304	3.80605
